id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason,fs,tr
24,short,2025-01-31T02:30:00+00:00,2025-01-31T11:00:00+00:00,3246.62,3303.116373848154,1.2851,3.3668,-75.9703,SL,1.2397,1.5673
25,long,2025-01-31T09:30:00+00:00,2025-01-31T17:00:00+00:00,3265.42,3388.8762495835426,1.2778,3.4011,154.3513,SL,0.1566,-0.0111
26,long,2025-02-01T16:00:00+00:00,2025-02-01T19:00:00+00:00,3261.0,3201.907690910832,1.3516,3.4941,-83.3633,SL,-0.5515,-0.7595
27,long,2025-02-03T15:00:00+00:00,2025-02-04T01:00:00+00:00,2674.76,2833.5057717645345,1.5543,3.4246,243.314,SL,0.1252,0.0507
28,long,2025-02-04T23:00:00+00:00,2025-02-05T14:30:00+00:00,2705.13,2774.795696923054,1.8067,3.9602,121.9048,SL,-1.79,-1.9106
30,long,2025-02-06T09:30:00+00:00,2025-02-06T12:30:00+00:00,2850.3,2778.128652746507,1.843,4.1493,-137.1611,SL,1.3434,1.292
29,short,2025-02-06T00:30:00+00:00,2025-02-07T07:00:00+00:00,2766.04,2718.918276552414,1.8991,4.1666,85.3223,SL,1.1259,1.2999
31,long,2025-02-08T07:30:00+00:00,2025-02-08T13:30:00+00:00,2628.13,2620.23,1.9396,4.0719,-19.3947,Replace,-1.5009,-1.7109
32,long,2025-02-08T13:30:00+00:00,2025-02-08T15:00:00+00:00,2620.23,2604.36,1.9233,4.0194,-34.5422,Replace,-0.5936,-1.1169
33,long,2025-02-08T15:00:00+00:00,2025-02-09T06:00:00+00:00,2604.36,2652.038285193289,1.8952,3.9848,86.3751,SL,-0.397,-0.4516
34,short,2025-02-09T11:30:00+00:00,2025-02-09T22:00:00+00:00,2653.74,2585.6913670269255,1.9576,4.1027,129.1093,SL,-0.0859,0.1817
35,long,2025-02-09T22:30:00+00:00,2025-02-10T21:30:00+00:00,2614.64,2658.154805193569,2.135,4.503,88.4011,SL,-1.2323,-1.5891
36,long,2025-02-12T11:30:00+00:00,2025-02-12T13:30:00+00:00,2625.94,2572.23421208123,2.2268,4.6301,-124.2222,SL,1.7651,1.5671
